,City,Country,Latitude,Longitude,Date,Temperature,Wind_Speed,Cloud_cover,Humidity
355,Togur,RU,58.36,82.83,1597558430,61.72,5.14,100,70
356,Kuala Terengganu,MY,5.33,103.14,1597558431,89.6,5.82,40,66
357,Hirara,JP,24.8,125.28,1597558433,89.6,9.17,75,66
358,Manoel Urbano,BR,-8.84,-69.26,1597558434,74.73,2.44,53,79
359,Margate,GB,51.38,1.39,1597558435,69.01,1.99,91,99
360,Sémbé,CG,1.65,14.58,1597558436,71.1,4.94,100,93
361,Mujiayingzi,CN,42.12,118.78,1597558064,86.94,7.02,1,39
362,Skibotn,NO,69.39,20.27,1597558439,50.0,28.86,75,71
363,Malatya Province,TR,38.5,38.0,1597558263,73.4,4.7,0,31
364,Lucea,JM,18.45,-78.17,1597558441,82.4,3.36,20,83
365,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1597558174,62.6,11.18,20,82
366,Miandrivazo,MG,-19.52,45.47,1597557903,79.88,3.38,0,30
367,Zyryanka,RU,65.75,150.85,1597558326,53.26,8.61,85,43
368,Plettenberg Bay,ZA,-34.05,23.37,1597557922,47.88,15.08,20,71
369,Vao,NC,-22.67,167.48,1597558447,70.47,18.48,14,77
